,Unnamed: 0,month,averagePlayers,gain,gainInPercent,peakPlayers,id,name,playingTwelveHoursAgo,twentyFourHourPeek,allTimePeek
0,0,October 2022,118.16,38.6,48.5,437,1291340,Townscaper,54,93,1162
1,1,September 2022,79.56,-5.66,-6.64,384,1291340,Townscaper,54,93,1162
2,2,August 2022,85.22,-8.35,-8.93,169,1291340,Townscaper,54,93,1162
3,3,July 2022,93.58,-8.48,-8.31,208,1291340,Townscaper,54,93,1162
4,4,June 2022,102.05,-61.94,-37.77,213,1291340,Townscaper,54,93,1162
5,5,May 2022,163.99,69.1,72.81,415,1291340,Townscaper,54,93,1162
6,6,April 2022,94.9,-8.15,-7.91,246,1291340,Townscaper,54,93,1162
7,7,March 2022,103.05,-17.25,-14.34,207,1291340,Townscaper,54,93,1162
8,8,February 2022,120.3,-53.64,-30.84,224,1291340,Townscaper,54,93,1162
9,9,January 2022,173.94,-7.07,-3.91,408,1291340,Townscaper,54,93,1162
10,10,December 2021,181.01,57.96,47.1,396,1291340,Townscaper,54,93,1162
11,11,November 2021,123.05,-5.93,-4.6,413,1291340,Townscaper,54,93,1162
12,12,October 2021,128.98,-139.0,-51.87,245,1291340,Townscaper,54,93,1162
13,13,September 2021,267.99,71.69,36.52,714,1291340,Townscaper,54,93,1162
14,14,August 2021,196.3,118.24,151.48,1162,1291340,Townscaper,54,93,1162
15,15,July 2021,78.06,-22.46,-22.34,125,1291340,Townscaper,54,93,1162
16,16,June 2021,100.52,3.97,4.11,183,1291340,Townscaper,54,93,1162
17,17,May 2021,96.54,-16.87,-14.88,255,1291340,Townscaper,54,93,1162
18,18,April 2021,113.42,9.6,9.25,213,1291340,Townscaper,54,93,1162
19,19,March 2021,103.82,-34.85,-25.13,209,1291340,Townscaper,54,93,1162
20,20,February 2021,138.67,-28.91,-17.25,244,1291340,Townscaper,54,93,1162
21,21,January 2021,167.58,61.46,57.93,330,1291340,Townscaper,54,93,1162
22,22,December 2020,106.11,2.66,2.57,204,1291340,Townscaper,54,93,1162
23,23,November 2020,103.45,-16.46,-13.73,208,1291340,Townscaper,54,93,1162
24,24,October 2020,119.9,2.01,1.71,272,1291340,Townscaper,54,93,1162
25,25,September 2020,117.89,-65.54,-35.73,201,1291340,Townscaper,54,93,1162
26,26,August 2020,183.44,-295.68,-61.71,392,1291340,Townscaper,54,93,1162
27,27,July 2020,479.12,,,1077,1291340,Townscaper,54,93,1162
28,0,October 2022,92.35,-13.6,-12.83,172,1289310,Helltaker,63,158,6489
29,1,September 2022,105.94,-36.53,-25.64,191,1289310,Helltaker,63,158,6489
30,2,August 2022,142.47,12.45,9.58,278,1289310,Helltaker,63,158,6489
31,3,July 2022,130.02,-7.63,-5.54,284,1289310,Helltaker,63,158,6489
32,4,June 2022,137.65,1.84,1.35,228,1289310,Helltaker,63,158,6489
33,5,May 2022,135.81,6.8,5.27,239,1289310,Helltaker,63,158,6489
34,6,April 2022,129.01,9.01,7.51,279,1289310,Helltaker,63,158,6489
35,7,March 2022,120.0,-18.82,-13.55,220,1289310,Helltaker,63,158,6489
36,8,February 2022,138.81,-3.72,-2.61,224,1289310,Helltaker,63,158,6489
37,9,January 2022,142.54,20.36,16.66,258,1289310,Helltaker,63,158,6489
38,10,December 2021,122.18,1.41,1.17,225,1289310,Helltaker,63,158,6489
39,11,November 2021,120.76,-14.92,-11.0,214,1289310,Helltaker,63,158,6489
40,12,October 2021,135.68,-1.72,-1.25,266,1289310,Helltaker,63,158,6489
41,13,September 2021,137.4,-36.65,-21.06,231,1289310,Helltaker,63,158,6489
42,14,August 2021,174.05,-20.15,-10.38,331,1289310,Helltaker,63,158,6489
43,15,July 2021,194.21,-105.26,-35.15,295,1289310,Helltaker,63,158,6489
44,16,June 2021,299.46,-547.63,-64.65,608,1289310,Helltaker,63,158,6489
45,17,May 2021,847.09,700.59,478.24,6489,1289310,Helltaker,63,158,6489
46,18,April 2021,146.49,-14.42,-8.96,247,1289310,Helltaker,63,158,6489
47,19,March 2021,160.91,-15.68,-8.88,691,1289310,Helltaker,63,158,6489
48,20,February 2021,176.6,-38.74,-17.99,232,1289310,Helltaker,63,158,6489
49,21,January 2021,215.34,-0.89,-0.41,345,1289310,Helltaker,63,158,6489
50,22,December 2020,216.22,-38.84,-15.23,350,1289310,Helltaker,63,158,6489
51,23,November 2020,255.06,18.83,7.97,6093,1289310,Helltaker,63,158,6489
52,24,October 2020,236.23,-60.54,-20.4,374,1289310,Helltaker,63,158,6489
53,25,September 2020,296.77,-249.09,-45.63,530,1289310,Helltaker,63,158,6489
54,26,August 2020,545.86,-523.66,-48.96,1092,1289310,Helltaker,63,158,6489
55,27,July 2020,1069.53,-688.23,-39.15,1998,1289310,Helltaker,63,158,6489
56,28,June 2020,1757.75,603.16,52.24,2899,1289310,Helltaker,63,158,6489
57,29,May 2020,1154.6,,,3239,1289310,Helltaker,63,158,6489
58,0,October 2022,65.95,11.0,20.12,183,1240210,There Is No Game: Wrong Dimension,80,183,1327
59,1,September 2022,54.91,-60.41,-52.39,109,1240210,There Is No Game: Wrong Dimension,80,183,1327
60,2,August 2022,115.32,29.81,34.86,375,1240210,There Is No Game: Wrong Dimension,80,183,1327
61,3,July 2022,85.51,-10.3,-10.75,195,1240210,There Is No Game: Wrong Dimension,80,183,1327
62,4,June 2022,95.81,23.44,32.39,179,1240210,There Is No Game: Wrong Dimension,80,183,1327
63,5,May 2022,72.37,-11.58,-13.8,139,1240210,There Is No Game: Wrong Dimension,80,183,1327
64,6,April 2022,83.95,-25.87,-23.56,192,1240210,There Is No Game: Wrong Dimension,80,183,1327
65,7,March 2022,109.82,8.21,8.08,287,1240210,There Is No Game: Wrong Dimension,80,183,1327
66,8,February 2022,101.61,-116.77,-53.47,209,1240210,There Is No Game: Wrong Dimension,80,183,1327
67,9,January 2022,218.38,48.78,28.76,712,1240210,There Is No Game: Wrong Dimension,80,183,1327
68,10,December 2021,169.6,95.88,130.07,663,1240210,There Is No Game: Wrong Dimension,80,183,1327
69,11,November 2021,73.72,1.54,2.13,163,1240210,There Is No Game: Wrong Dimension,80,183,1327
70,12,October 2021,72.18,-10.65,-12.86,218,1240210,There Is No Game: Wrong Dimension,80,183,1327
71,13,September 2021,82.83,-178.5,-68.3,154,1240210,There Is No Game: Wrong Dimension,80,183,1327
72,14,August 2021,261.33,184.83,241.63,1327,1240210,There Is No Game: Wrong Dimension,80,183,1327
73,15,July 2021,76.49,-14.4,-15.85,123,1240210,There Is No Game: Wrong Dimension,80,183,1327
74,16,June 2021,90.9,9.26,11.35,192,1240210,There Is No Game: Wrong Dimension,80,183,1327
75,17,May 2021,81.63,-0.72,-0.88,198,1240210,There Is No Game: Wrong Dimension,80,183,1327
76,18,April 2021,82.35,-18.59,-18.42,151,1240210,There Is No Game: Wrong Dimension,80,183,1327
77,19,March 2021,100.94,-16.45,-14.01,186,1240210,There Is No Game: Wrong Dimension,80,183,1327
78,20,February 2021,117.4,-90.24,-43.46,198,1240210,There Is No Game: Wrong Dimension,80,183,1327
79,21,January 2021,207.63,7.48,3.74,627,1240210,There Is No Game: Wrong Dimension,80,183,1327
80,22,December 2020,200.15,47.48,31.1,663,1240210,There Is No Game: Wrong Dimension,80,183,1327
81,23,November 2020,152.68,-74.83,-32.89,317,1240210,There Is No Game: Wrong Dimension,80,183,1327
82,24,October 2020,227.51,95.5,72.34,428,1240210,There Is No Game: Wrong Dimension,80,183,1327
